A- 	not, without
Windfall	unexpected good fortune, esp.
Windfall	legacy.
Winding-sheet	Sheet in which a corpse is wrapped for burial.
Wind instrument	Musical instrument sounded by an air-current, esp. The breath.
Wind-jammer	Merchant sailing-ship.
Windlass	Machine with a horizontal axle for hauling or hoisting.
Windmill	mill worked by the wind acting on its sails.
Windmill	toy consisting of a stick with curved vanes that revolve in a wind.
Window	a opening in a wall etc., usu. With glass to admit light etc.
Window	the glass itself.
Window	space for display behind the window of a shop.
Window	window-like opening.
Window	opportunity to learn from observation.
Window	transparent part in an envelope showing an address.
Window	vdu display showing a particular part of the data.
Window-box	Box placed outside a window for growing flowers.
Window-dressing	art of arranging a display in a shop-window etc.
Window-dressing	adroit presentation of facts etc. To give a deceptively favourable impression.
Window-pane	Pane of glass in a window.
Window-seat	seat below a window, esp. In an alcove.
Window-seat	seat next to a window in an aircraft, train, etc.
Window-shop	Look at goods displayed in shop-windows, without buying anything.
Window-sill	Sill below a window.
Windpipe	Air-passage from the throat to the lungs.
Windscreen	Screen of glass at the front of a motor vehicle.
Windscreen wiper	Blade moving in an arc to keep a windscreen clear of rain etc.
Windshield	Us
Wind-sock	Canvas cylinder or cone on a mast to show the direction of the wind at an airfield etc.
Windsurfing	Sport of riding on water on a sailboard.
Windsurfing	Windsurfer
Windswept	Exposed to or swept back by the wind.
Wind-tunnel	Tunnel-like device producing an air-stream past models of aircraft etc. For the study of aerodynamics.
Wind-up	conclusion; finish.
Wind-up	Attempt to provoke.
Wind-up	operating by being wound up.
Windward	On the side from which the wind is blowing.
Windward	Windward direction.
Windy	stormy with or exposed to wind.
Windy	generating or characterized by flatulence.
Windy	Wordy.
Windy	Nervous, frightened.
Wine	fermented grape juice as an alcoholic drink.
Wine	fermented drink resembling this made from other fruits etc.
Wine	dark-red colour of red wine.
Wine	drink wine.
Wine	entertain with wine.
Wine bar	Bar or small restaurant where wine is the main drink available.
Winebibber	Tippler.
Wine cellar	cellar for storing wine.
Wine cellar	its contents.
Wineglass	Glass for wine, usu. With a stem and foot.
Wine list	List of wines available in a restaurant etc.
Winepress	Press in which grapes are squeezed in making wine.
Wine vinegar	Vinegar made from wine as distinct from malt etc.
Wine waiter	Waiter responsible for serving wine.
Wing	each of the limbs or organs by which a bird etc. Is able to fly.
Wing	winglike structure supporting an aircraft.
Wing	part of a building etc. Extended in a certain direction.
Wing	a forward player at either end of a line in football, hockey, etc.
Wing	side part of a playing-area.
Wing	(in
Wing	) Sides of a theatre stage.
Wing	polarized section of a political party in terms of its views.
Wing	flank of a battle array.
Wing	the part of a vehicle over a wheel.
Wing	air-force unit of several squadrons or groups.
Wing	travel or traverse on wings.
Wing	wound in a wing or an arm.
Wing	equip with wings.
Wing	enable to fly; send in flight.
Wing	Winglike
Wing-case	Horny cover of an insect's wing.
Wing-chair	Chair with side-pieces at the top of a high back.
Wing-collar	Man's high stiff collar with turned-down corners.
Wing commander	Raf officer next below group captain.
Winger	Wing player.
Winger	(in
Winger	) Member of a specified political wing.
Wing-nut	Nut with projections for the fingers to turn it.
Wing-span	measurement right across the wings.
Wink	close and open one eye quickly, esp. As a signal.
Wink	close and open
Wink	quickly.
Wink	Twinkle;
Wink	flash on and off.
Wink	act of winking.
Wink	Short sleep.
Wink	(in sense
Winkle	Small edible sea snail.
Winkle	extract with difficulty.
Winkle-picker	long pointed shoe.
Winner	person etc. That wins.
Winner	Successful or highly promising idea etc.
Winning	having or bringing victory.
Winning	attractive
Winning	(in
Winning	) Money won.
Winning-post	Post marking the end of a race.
Winnow	blow
Winnow	free of chaff etc. By an air-current.
Winnow	Get rid of
Winnow	From grain.
Winnow	sift, examine
Wino	alcoholic.
Winsome	Attractive, engaging.
Winsome	Winsomeness
Winter	coldest and last season of the year.
Winter	Characteristic of or fit for winter.
Winter	pass the winter.
Winter garden	Garden or conservatory of plants flourishing in winter.
Wintergreen	kind of plant remaining green all winter.
Winter jasmine	Jasmine with yellow flowers in winter.
Winter solstice	About
Winter solstice	2 dec.
Winter sports	pl. Sports performed on snow or ice.
Wintertime	Season or period of winter.
Wintry	characteristic of winter.
Wintry	lacking warmth; unfriendly.
Winy	wine-flavoured.
Wipe	clean or dry the surface of by rubbing.
Wipe	rub
Wipe	over a surface.
Wipe	spread
Wipe	Over a surface by rubbing.
Wipe	clear or remove by wiping.
Wipe	erase or eliminate completely.
Wipe	act of wiping.
Wipe	piece of specially treated material for wiping
Wipe	Inflict a humiliating defeat on. Wipe off annul
Wipe	. Wipe out
Wipe	destroy, annihilate, obliterate.
Wipe	clean the inside of. Wipe up
Wipe	dry
Wipe	take up
Wipe	By wiping.
Wire	a metal drawn out into a thread or thin flexible rod.
Wire	piece of this.
Wire	Made of wire.
Wire	length of this for fencing or to carry an electric current etc.
Wire	Telegram.
Wire	provide, fasten, strengthen, etc., with wire.
Wire	install electrical circuits in
Wire	Telegraph.
Wire-haired	with stiff or wiry hair.
Wireless	Radio; radio receiving set.
Wire netting	Netting of meshed wire.
Wire-tapping	Tapping of telephone lines to eavesdrop.
Wire wool	Mass of fine wire for scouring or rubbing down.
Wireworm	Destructive larva of a kind of beetle.
Wiring	System or installation of wires providing electrical circuits.
Wiry	sinewy, untiring.
Wiry	like wire; tough,
Wisdom	experience and knowledge together with the power of applying them.
Wisdom	prudence; common sense.
Wisdom	wise sayings.
Wisdom tooth	Hindmost molar usu. Cut at about
Wisdom tooth	0 years of age.
Wise1	having, showing, or dictated by wisdom.
Wise1	prudent, sensible.
Wise1	having knowledge (often in
Wise1	: streetwise; worldly-wise).
Wise1	suggestive of wisdom.
Wise1	Alert, crafty.
Wise1	Be
Wise1	aware of. None the wiser knowing no more than before. Put wise
Wise1	Inform
Wise1	. Wise up esp. Us
Wise1	Put or get wise.
Wise2	way, manner, or degree.
-wise	forming adjectives and adverbs of manner
-wise	or respect
Wiseacre	Person who affects a wise manner.
Wisecrack	Smart pithy remark.
Wisecrack	Make a wisecrack.
Wise guy	Know-all.
Wise man	Wizard, esp. One of the magi.
Wisent	European bison.
Wish	have or express a desire or aspiration for
Wish	have as a desire or aspiration
Wish	want or demand
Wish	express one's hopes for
Wish	Foist on.
Wish	a desire, request.
Wish	expression of this.
Wish	thing desired.
Wishbone	Forked bone between the neck and breast of a fowl often broken between two people, the longer portion entitling the holder to make a wish.
Wishful	Desiring.
Wish-fulfilment	Tendency for subconscious desire to be satisfied in fantasy.
Wishful thinking	Belief founded on wishes rather than facts.
Wishing-well	Well into which coins are dropped and a wish is made.
Wishy-washy	feeble in quality or character.
Wishy-washy	weak, watery.
Wisp	small bundle or twist of straw etc.
Wisp	small separate quantity of smoke, hair, etc.
Wisp	small thin person etc.
Wisteria	climbing plant with blue, purple, or white hanging flowers.
Wistful	Yearning, mournfully expectant or wishful.
Wistful	Wistfulness
Wit	(in sing. Or
Wit	) Intelligence; quick understanding.
Wit	a unexpected combining or contrasting of ideas or expressions.
Wit	power of giving pleasure by this.
Wit	person possessing such power.
Witch	sorceress, woman supposed to have dealings with the devil or evil spirits.
Witch	old hag.
Witch	fascinating girl or woman.
Witchcraft	use of magic.
Witchcraft	bewitching charm.
Witch-doctor	Tribal magician of primitive people.
Witches' sabbath	Supposed midnight orgy of the devil and witches.
Witch-hazel	american shrub with bark yielding an astringent lotion.
Witch-hazel	this lotion.
Witch-hunt	Campaign against persons suspected of unpopular or unorthodox views, esp. Communists.
With	Expressing:
With	instrument or means used
With	a association or company
With	parting of company
With	cause
With	possession
With	circumstances
With	manner
With	agreement
With	disagreement, antagonism
With	understanding
With	0 reference or regard
With	) Take, send, or put
With	away
With	. With it
With	up to date.
With	alert and comprehending. With that thereupon.
Withdraw	(past withdrew;
Withdraw	Withdrawn)
Withdraw	pull or take aside or back.
Withdraw	discontinue, cancel, retract.
Withdraw	remove; take away.
Withdraw	take
Withdraw	out of an account.
Withdraw	retire or move apart.
Withdraw	(as withdrawn
Withdraw	) Abnormally shy and unsociable; mentally detached.
Withdrawal	withdrawing or being withdrawn.
Withdrawal	process of ceasing to take an addictive drug etc., often with an unpleasant reaction
Withe	tough flexible shoot, esp. Of willow, used for binding, basketwork, etc.
Wither	make or become dry and shrivelled.
Wither	deprive of or lose vigour or freshness.
Wither	(esp. As withering
Wither	) Blight with scorn etc.
Withers	pl. Ridge between a horse's shoulder-blades.
Withhold	(past and
Withhold	-held)
Withhold	hold back; restrain.
Withhold	refuse to give, grant, or allow.
Within	inside.
Within	indoors.
Within	in spirit
Within	inside.
Within	a not beyond or out of.
Within	not transgressing or exceeding.
Within	not further off than
Without	not having or feeling or showing.
Without	with freedom from.
Without	in the absence of.
Without	with neglect or avoidance of.
Without	outside.
Without	or literary
Without	outside.
Without	out of doors.
Withstand	(past and
Withstand	-stood) oppose, hold out against.
Witless	Foolish, crazy.
Witness	a person giving sworn testimony.
Witness	person attesting another's signature to a document.
Witness	person or thing whose existence etc. Attests or proves something.
Witness	testimony, evidence, confirmation.
Witness	be an eye-witness of.
Witness	be witness to the authenticity of
Witness	serve as evidence or an indication of.
Witness	give or serve as evidence.
Witness	attest the truth of.
Witness	state one's belief in. Call to witness appeal to for confirmation etc.
Witness-box	enclosure in a lawcourt from which witnesses give evidence.
Witter	Chatter annoyingly or on trivial matters.
Witticism	Witty remark.
Wittingly	Aware of what one is doing; intentionally.
Witty	showing esp. Verbal wit.
Witty	Wittiness
Wives	Of *wife.
Wizard	sorcerer; magician.
Wizard	person of remarkable powers, genius.
Wizard	wonderful.
Wizened	Shrivelled-looking.
Wnw	West-north-west.
Wo	Warrant-officer.
Woad	plant yielding a blue dye.
Woad	dye from this.
Wobble	sway from side to side.
Wobble	stand or go unsteadily; stagger.
Wobble	waver, vacillate.
Wobble	State or instance of wobbling.
Wobbly	tending to wobble.
Wobbly	wavy
Wobbly	weak after illness.
Wobbly	wavering, insecure
Wobbly	have a tantrum or fit of nerves.
Wodge	Chunk, lump.
Woe	affliction; bitter grief.
Woe	(in
Woe	) Calamities.
Woebegone	Dismal-looking.
Woeful	sorrowful.
Woeful	causing or feeling affliction.
Woeful	very bad.
Wog	offens. Foreigner, esp.
Wog	non-white one.
Woggle	Leather etc. Ring through which the ends of a scout's neckerchief are passed at the neck.
Wok	Bowl-shaped frying-pan used in esp. Chinese cookery.
Woken	Of *wake1.
Wold	High open uncultivated land or moor.
Wolf	wild animal related to the dog, usu. Hunting in packs.
Wolf	man who seduces women.
Wolf	devour greedily.
Wolfhound	Dog of a kind used orig. To hunt wolves.
Wolf in sheep's clothing	Hostile person who pretends friendship.
Wolfram	tungsten.
Wolfram	tungsten ore.
Wolfsbane	Aconite.
Wolf-whistle	Whistle made by a man to a sexually attractive woman.
Wolverine	American animal of the weasel family.
Wolves	Of *wolf.
Wolves	Of *wolf.
Woman	adult human female.
Woman	the female sex.
Woman	Wife or girlfriend.
Woman	feminine characteristics
Woman	Female
Woman	(in
Woman	) Woman of a specified nationality, skill, etc.
Woman	Charwoman.
Womanhood	female maturity.
Womanhood	womanly instinct.
Womanhood	womankind.
Womanish	Derog. Effeminate, unmanly.
Womanize	chase after women; philander.
Womankind	women in general.
Womanly	Having or showing qualities associated with women.
Womb	Organ of conception and gestation in a woman and other female mammals.
Wombat	Burrowing plant-eating australian marsupial.
Women	Of *woman.
Womenfolk	women in general.
Womenfolk	the women in a family.
Women's libber	Supporter of women's liberation.
Women's liberation	Movement urging the liberation of women from domestic duties and subservient status.
Women's rights	pl. Position of legal and social equality with men.
Wonder	emotion, esp. Admiration, excited by what is unexpected, unfamiliar, or inexplicable.
Wonder	strange or remarkable thing, specimen, event, etc.
Wonder	Having marvellous or amazing properties etc.
Wonder	be filled with wonder or great surprise.
Wonder	be surprised to find.
Wonder	desire or be curious to know
Wonder	I think it likely. No
Wonder	wonder one cannot be surprised. Work
Wonder	wonders
Wonder	do miracles.
Wonder	be remarkably effective.
Wonderful	Very remarkable or admirable.
Wonderland	fairyland.
Wonderland	land of surprises or marvels.
Wonderment	Surprise, awe.
Wonky	crooked, askew.
Wonky	loose, unsteady.
Wonky	unreliable.
Wont	or literary
Wont	Accustomed.
Wont	Formal or joc. What is customary, one's habit.
Won't	Will not.
Wonted	Habitual, usual.
Woo	court; seek the hand or love of.
Woo	try to win
Woo	seek the favour or support of.
Woo	coax or importune.
Wood	a hard fibrous substance of the trunk or branches of a tree or shrub.
Wood	this for timber or fuel.
Wood	(in sing. Or
Wood	) Growing trees densely occupying a tract of land.
Wood	wooden cask for wine etc.
Wood	wooden-headed golf club.
Wood anemone	wild spring-flowering anemone.
Woodbine	Honeysuckle.
Woodchuck	American marmot.
Woodcock	Game-bird related to the snipe.
Woodcraft	knowledge of woodland, esp. In camping etc.
Woodcraft	skill in woodwork.
Woodcut	relief cut on wood.
Woodcut	print made from this.
Woodcutter	Person who cuts timber.
Wooded	Having woods or many trees.
Wooden	made of wood.
Wooden	like wood.
Wooden	a stiff, clumsy.
Wooden	expressionless.
Wooden	Woodenness
Woodland	(often
Woodland	) Wooded country, woods.
Woodlouse	small land crustacean with many legs.
Woodman	Forester.
Woodpecker	Bird that taps tree-trunks in search of insects.
Woodpigeon	Dove with white patches like a ring round its neck.
Woodpile	Pile of wood, esp. For fuel.
Wood pulp	Wood-fibre prepared for paper-making.
Woodruff	White-flowered plant with fragrant leaves.
Woodshed	Shed where wood for fuel is stored.
Woodshed	Shocking thing kept secret.
Woodwind	wind instruments that were
Woodwind	orig. Made of wood, e.g. The flute, clarinet, oboe, and saxophone.
Woodwind	one such instrument.
Woodwork	making of things in wood.
Woodwork	things made of wood.
Woodwork	appear.
Woodworm	wood-boring larva of a kind of beetle.
Woodworm	condition of wood affected by this.
Woody	wooded.
Woody	like or of wood.
Woodyard	Yard where wood is used or stored.
Woody nightshade	kind of nightshade with poisonous red berries.
Woof1	Gruff bark of a dog.
Woof1	Give a woof.
Woofer	Loudspeaker for low frequencies.
Wool	fine soft wavy hair from the fleece of sheep etc.
Wool	woollen yarn or cloth or clothing.
Wool	wool-like substance
Woolen	Made wholly or partly of wool.
Woolen	woollen fabric.
Woolen	(in
Woolen	) Woollen garments.
Wool-gathering	Absent-mindedness.
Woollen	Made wholly or partly of wool.
Woollen	woollen fabric.
Woollen	(in
Woollen	) Woollen garments.
Woolly	bearing wool.
Woolly	like wool.
Woolly	woollen
Woolly	indistinct.
Woolly	vague or confused.
Woolly	Woollen garment, esp.
Woolly	pullover.
Woolsack	lord chancellor's wool-stuffed seat in the house of lords.
Woolsack	his position.
Woozy	dizzy or unsteady.
Woozy	slightly drunk.
Woozy	Wooziness
Wop	offens. Italian or other s. European.
Worcester sauce	pungent sauce.
Word	meaningful element of speech, usu. Shown with a space on either side of it when written or printed.
Word	speech, esp. As distinct from action.
Word	one's promise or assurance.
Word	(in sing. Or
Word	) Thing said, remark, conversation.
Word	(in
Word	) Text of a song or an actor's part.
Word	(in
Word	) Angry talk
Word	news, message
Word	command
Word	Put into words; select words to express.
Word-game	Game involving the making or selection etc. Of words.
Wording	Form of words used.
Word of mouth	Speech
Word-perfect	Knowing one's part etc. By heart.
Wordplay	Witty use of words, esp. Punning.
Word processor	Computer program, or device incorporating a computer, used for storing text entered from a keyboard, making corrections, and providing a printout.
Word processor	Word processing
Wordy	using or expressed in too many words.
Wordy	Wordiness
Work	application of mental or physical effort to a purpose; use of energy.
Work	task to be undertaken.
Work	thing done or made by work; result of an action.
Work	employment or occupation etc., esp. As a means of earning income.
Work	literary or musical composition.
Work	actions or experiences of a specified kind
Work	(in
Work	) Things made of a specified material or with specified tools etc.
Workable	That can be worked, will work, or is worth working.
Workaday	Ordinary, everyday, practical.
Workaholic	Person addicted to working.
Work-basket	Basket for sewing materials.
Workbench	Bench for manual work, esp. Carpentry.
Workbook	Student's book with exercises.
Workbox	Box for tools, needlework, etc.
Work camp	Camp at which community work is done, esp. By young volunteers.
Workday	Day on which work is usually done.
Worker	person who works, esp. For an employer.
Worker	neuter bee or ant.
Worker	person who works hard.
Work experience	Scheme intended to give young people temporary experience of employment.
Workforce	workers engaged or available.
Workforce	number of these.
Workhouse	Hist. Public institution for the poor of a parish.
Working	a engaged in work
Working	while so engaged
Working	functioning or able to function
Working	activity of work.
Working	functioning.
Working	mine or quarry.
Working	(usu. In
Working	) Machinery, mechanism.
Working capital	Capital actually used in a business.
Working class	Social class employed, esp. In manual or industrial work, for wages.
Working day	workday.
Working day	part of the day devoted to work.
Working hypothesis	Hypothesis as a basis for action.
Working knowledge	Knowledge adequate to work with.
Working lunch	Lunch at which business is conducted.
Working order	Condition in which a machine works.
Working party	Group of people appointed to study and advise on a particular problem.
Workload	Amount of work to be done.
Workman	man employed to do manual labour.
Workman	person with regard to skill in a job
Workmanlike	Competent, showing practised skill.
Workmanship	Degree of skill in doing a task or of finish in the product made.
Workmate	Person working alongside another.
Work of art	Fine picture, poem, building, etc.
Workout	Session of physical exercise or training.
Workpiece	Thing worked on with a tool or machine.
Workplace	Place at which a person works.
Workroom	Room for working in.
Worksheet	paper for recording work done or in progress.
Worksheet	paper listing questions or activities for students etc. To work through.
Workshop	room or building in which goods are manufactured.
Workshop	place or meeting for concerted discussion or activity
Work-shy	Disinclined to work.
Workstation	location of a stage in a manufacturing process.
Workstation	computer terminal or the desk etc. Where this is located.
Work study	Assessment of methods of working so as to achieve maximum productivity.
Work table	Table for working at.
Worktop	Flat surface for working on, esp. In a kitchen.
Work-to-rule	Working to rule.
World	a the earth, or a planetary body like it.
World	its countries and people.
World	the universe, all that exists.
World	a the time, state, or scene of human existence.
World	mortal life.
World	secular interests and affairs.
World	human affairs; active life.
World	average, respectable, or fashionable people or their customs or opinions.
World	all that concerns or all who belong to a specified class or sphere of activity
World	vast amount.
World	Affecting many nations, of all nations
World	Extremely good etc. Think the world of have a very high regard for.
World-beater	Person or thing surpassing all others.
World-class	Of a quality or standard regarded as high throughout the world.
World cup	Competition between football teams from various countries.
World-famous	Known throughout the world.
Worldly	of the affairs of the world, temporal, earthly
Worldly	experienced in life, sophisticated, practical.
Worldly-wise	Prudent or shrewd in one's dealings with the world.
World music	Pop music that incorporates local or ethnic elements
World war	War involving many major nations.
World-weary	Bored with human affairs.
Worldwide	Occurring in or known in all parts of the world.
Worldwide	Throughout the world.
Worm	any of various types of creeping invertebrate animals with long slender bodies and no limbs.
Worm	larva of an insect, esp. In fruit or wood.
Worm	(in
Worm	) Intestinal parasites.
Worm	insignificant or contemptible person.
Worm	spiral part of a screw.
Worm	Move with a crawling motion.
Worm	refl.
Worm	insinuate oneself into favour etc.
Worm	obtain
Worm	By cunning persistence.
Worm	rid
Worm	Of worms.
Worm-cast	Convoluted mass of earth left on the surface by a burrowing earthworm.
Wormeaten	eaten into by worms; decayed.
Wormeaten	old and dilapidated.
Worm-hole	Hole left by the passage of a worm.
Worm's-eye view	View from below or from a humble position.
Wormwood	plant with a bitter aromatic taste.
Wormwood	bitter mortification; source of this.
Wormy	full of worms.
Wormy	wormeaten.
Worn	Of *wear.
Worn	damaged by use or wear.
Worn	looking tired and exhausted.
Worrisome	Causing worry.
Worry	give way to anxiety.
Worry	harass, importune; be a trouble or anxiety to.
Worry	Shake or pull about with the teeth.
Worry	(as worried
Worry	) Uneasy.
Worry	thing that causes anxiety or disturbs tranquility.
Worry	disturbed state of mind; anxiety.
Worry beads	pl. String of beads manipulated with the fingers to occupy or calm oneself.
Worse	more bad.
Worse	In or into worse health or a worse condition
Worse	More badly; more ill.
Worse	worse thing or things
Worse	worse condition
Worse	damaged by use.
Worse	injured. Worse luck unfortunately. Worse off in a worse
Worse	position.
Worsen	Make or become worse.
Worship	a homage or service to a deity.
Worship	acts, rites, or ceremonies of this.
Worship	adoration, devotion.
Worship	forms of description or address for a mayor, certain magistrates, etc.
Worship	adore as divine; honour with religious rites.
Worship	idolize or regard with adoration.
Worship	attend public worship.
Worship	be full of adoration.
Worshipful	honourable, distinguished.
Worst	Most bad.
Worst	Most badly.
Worst	Worst part or possibility
Worst	Get the better of; defeat.
Worsted	fine woollen yarn.
Worsted	fabric made from this.
Wort	plant
Wort	infusion of malt before it is fermented into beer.
Worth	of a value equivalent to
Worth	such as to justify or repay
Worth	possessing or having property amounting to
Worth	what a person or thing is worth; the
Worth	merit of
Worth	equivalent of money in a commodity
Worth	With one's utmost efforts. For what it is worth without a guarantee of its truth or value. Worth it
Worth	Worth while. Worth one's salt see *salt. Worth one's weight in gold see *weight. Worth while
Worth	see *while.
Worthless	Without value or merit.
Worthwhile	That is worth the time, effort, or money spent.
Worthy	deserving respect, estimable
Worthy	entitled to
Worthy	recognition
Worthy	Deserving
Worthy	adequate or suitable to the dignity etc. Of
Worthy	worthy person.
Worthy	person of some distinction.
Worthy	Worthiness
-worthy	Form forming adjectives meaning:
-worthy	deserving of
-worthy	suitable for
Would	aux.
Would	past of *will1, used esp.:
Would	in reported speech
Would	to express a condition
Would	to express habitual action
Would	to express a question or polite request
Would	to express probability
Would	to express consent
Would-be	Desiring or aspiring to be.
Wouldn't	Would not.
Wound1	injury done to living tissue by a deep cut or heavy blow etc.
Wound1	pain inflicted on one's feelings; injury to one's reputation.
Wound1	Inflict a wound on.
Wound up	Excited; tense; angry.
Woven	Of *weave1.
Wow1	Expressing astonishment or admiration.
Wow1	sensational success.
Wow1	impress greatly.
Wow2	Slow pitch-fluctuation in sound-reproduction, perceptible in long notes.
Wp	Word processor.
Wpc	Woman police constable.
W.p.m.	Words per minute.
Wrac	Women's royal army corps.
Wrack	seaweed cast up or growing on the shore.
Wrack	destruction.
Wraf	Women's royal air force.
Wraith	ghost.
Wraith	spectral appearance of a living person supposed to portend that person's death.
Wrangle	Noisy argument or dispute.
Wrangle	engage in a wrangle.
Wrap	envelop in folded or soft encircling material.
Wrap	arrange or draw
Wrap	round
Wrap	crash
Wrap	into
Wrap	shawl, scarf, etc.
Wrap	esp. Us wrapping material.
Wrap	Finish off
Wrap	put on warm clothes
Wrap	be quiet.
Wraparound	designed to wrap round.
Wraparound	curving or extending round at the edges.
Wrap-over	overlapping when worn.
Wrap-over	Such a garment.
Wrapper	cover for a sweet, book, posted newspaper, etc.
Wrapper	loose enveloping robe or gown.
Wrapping	(esp. In
Wrapping	) Material used to wrap; wraps, wrappers.
Wrapping paper	Strong or decorative paper for wrapping parcels.
Wrasse	Bright-coloured marine fish.
Wrath	Literary extreme anger.
Wrathful	Literary extremely angry.
Wreak	give play to
Wreak	cause
Wreath	flowers or leaves fastened in a ring, esp. As an ornament for the head or for laying on a grave etc.
Wreath	curl or ring of smoke, cloud, or soft fabric.
Wreathe	encircle or cover as, with, or like a wreath.
Wreathe	wind
Wreathe	Round
Wreathe	Move in wreaths.
Wreck	the sinking or running aground of a ship.
Wreck	ship that has suffered a wreck.
Wreck	greatly damaged building, thing, or person.
Wreck	wretched remnant.
Wreck	a seriously damage
Wreck	ruin
Wreck	cause the wreck of
Wreckage	wrecked material.
Wreckage	remnants of a wreck.
Wreckage	act of wrecking.
Wrecker	person or thing that wrecks or destroys.
Wrecker	esp. Us person employed in demolition or breaking up damaged vehicles.
Wrecker	esp. Hist. Person on the shore who tries to bring about a shipwreck for plunder or profit.
Wren	Member of the women's royal naval service.
Wren	Small usu. Brown short-winged songbird with an erect tail.
Wrench	violent twist or oblique pull or tearing off.
Wrench	tool like a spanner for gripping and turning nuts etc.
Wrench	painful uprooting or parting.
Wrench	twist or pull violently round or sideways.
Wrench	Pull off with a wrench.
Wrest	wrench away from a person's grasp.
Wrest	obtain by effort or with difficulty.
Wrestle	contest in which two opponents grapple and try to throw each other to the ground, esp. As an athletic sport.
Wrestle	hard struggle.
Wrestle	take part or fight in a wrestle.
Wrestle	struggle.
Wrestle	do one's utmost to deal with
Wrestle	Wrestling
Wretch	unfortunate or pitiable person.
Wretch	reprehensible person.
Wretched	unhappy, miserable; unwell.
Wretched	of bad quality; contemptible.
Wretched	displeasing, hateful.
Wretched	Wretchedness
Wriggle	Twist or turn its body with short writhing movements.
Wriggle	make wriggling motions.
Wriggle	Go thus
Wriggle	be evasive.
Wriggle	Act of wriggling.
Wriggle	Avoid on a pretext.
Wright	Maker or builder (usu. In
Wright	: playwright; shipwright).
Wring	(past and
Wring	Wrung)
Wring	a squeeze tightly.
Wring	squeeze and twist, esp. To remove liquid.
Wring	break by twisting.
Wring	distress, torture.
Wring	extract by squeezing.
Wring	obtain by pressure or importunity; extort.
Wring	Act of wringing.
Wringer	Device for wringing water from washed clothes etc.
Wringing	so wet that water can be wrung out.
Wrinkle	crease in the skin, esp. Caused by age.
Wrinkle	similar mark in another flexible surface.
Wrinkle	Useful tip or clever expedient.
Wrinkle	make wrinkles in.
Wrinkle	form wrinkles.
Wrinkly	having wrinkles.
Wrinkly	offens. Old or middle-aged person.
Wrist	joint connecting the hand with the arm.
Wrist	part of a garment covering this.
Wristlet	Band or ring to strengthen, guard, or adorn the wrist.
Wrist-watch	Small watch worn on a strap etc. Round the wrist.
Writ1	Form of written command to act or not act in some way.
Writ2	Of *write.
C	(-ting; past wrote;
C	Written)
C	mark paper or some other surface with symbols, letters, or words.
C	form or mark
Wreckage	wrecked material.
Wreckage	remnants of a wreck.
Wreckage	act of wrecking.
Wrecker	person or thing that wrecks or destroys.
Wrecker	esp. Us person employed in demolition or breaking up damaged vehicles.
Wrecker	esp. Hist. Person on the shore who tries to bring about a shipwreck for plunder or profit.
Wren	Member of the women's royal naval service.
Wren	Small usu. Brown short-winged songbird with an erect tail.
Wrench	violent twist or oblique pull or tearing off.
Wrench	tool like a spanner for gripping and turning nuts etc.
Wrench	painful uprooting or parting.
Wrench	twist or pull violently round or sideways.
Wrench	Pull off with a wrench.
Wrest	wrench away from a person's grasp.
Wrest	obtain by effort or with difficulty.
Wrestle	contest in which two opponents grapple and try to throw each other to the ground, esp. As an athletic sport.
Wrestle	hard struggle.
Wrestle	take part or fight in a wrestle.
Wrestle	struggle.
Wrestle	do one's utmost to deal with
Wrestle	Wrestling
Wretch	unfortunate or pitiable person.
Wretch	reprehensible person.
Wretched	unhappy, miserable; unwell.
Wretched	of bad quality; contemptible.
Wretched	displeasing, hateful.
Wretched	Wretchedness
Wriggle	Twist or turn its body with short writhing movements.
Wriggle	make wriggling motions.
Wriggle	Go thus
Wriggle	be evasive.
Wriggle	Act of wriggling.
Wriggle	Avoid on a pretext.
Wright	Maker or builder (usu. In
Wright	: playwright; shipwright).
Wring	(past and
Wring	Wrung)
Wring	a squeeze tightly.
Wring	squeeze and twist, esp. To remove liquid.
Wring	break by twisting.
Wring	distress, torture.
Wring	extract by squeezing.
Wring	obtain by pressure or importunity; extort.
Wring	Act of wringing.
Wringer	Device for wringing water from washed clothes etc.
Wringing	so wet that water can be wrung out.
Wrinkle	crease in the skin, esp. Caused by age.
Wrinkle	similar mark in another flexible surface.
Wrinkle	Useful tip or clever expedient.
Wrinkle	make wrinkles in.
Wrinkle	form wrinkles.
Wrinkly	having wrinkles.
Wrinkly	offens. Old or middle-aged person.
Wrist	joint connecting the hand with the arm.
Wrist	part of a garment covering this.
Wristlet	Band or ring to strengthen, guard, or adorn the wrist.
Wrist-watch	Small watch worn on a strap etc. Round the wrist.
Writ1	Form of written command to act or not act in some way.
Writ2	Of *write.
Write	(-ting; past wrote;
Write	Written)
Write	mark paper or some other surface with symbols, letters, or words.
Write	form or mark
Write	form or mark the symbols of
Write	fill or complete
Write	With writing.
Write	transfer
Write	into a computer store.
Write	(esp.
Write-off	Thing written off, esp.
Write-off	vehicle too badly damaged to be repaired.
Writer	person who writes or has written something.
Writer	person who writes books, author.
Writer's cramp	Muscular spasm due to excessive writing.
Write-up	Written or published account, review.
Writhe	twist or roll oneself about in or as in acute pain.
Writhe	suffer mental torture or embarrassment
Writing	written words etc.
Writing	handwriting.
Writing	(usu. In
Writing	) Author's works.
Writing-desk	Desk for writing at, esp. With compartments for papers etc.
